y,x,coint_p,beta,spread_adf_p,half_life,tradeable
QCOM,AMD,0.0426646637167954,0.7135048210474955,0.01114635085896519,63.998295753212126,True
AAPL,MSFT,0.060669146098000525,0.5135252404377924,0.016984177953124777,86.5099325715725,False
AMD,MSFT,0.07423148890015878,0.3984479700579997,0.021828505354537238,54.132040181246644,False
AMD,AAPL,0.07929538322185742,0.7292030485996689,0.02340528025456957,64.54110105468321,False
QCOM,MSFT,0.13291001859095958,0.3010981637555618,0.04416953198729805,67.9818285015921,False
CRM,MSFT,0.13575015970732346,0.36981760310911876,0.0453544143737368,84.50420972501605,False
CRM,AAPL,0.15859209061232477,0.6721959723349994,0.055208274311902096,88.4672356470732,False
QCOM,AAPL,0.16292669971091656,0.5726005434598871,0.057153443812637775,67.2098269086842,False
CRM,NVDA,0.19269261600685983,0.7241343485136635,0.07084542373320746,102.07120099769324,False
NVDA,AVGO,0.29425464313000577,0.6138907123012346,0.127148133161609,53.93434189037028,False
AMD,NVDA,0.3509878085363787,0.7846944481329254,0.15782462995163948,140.93561545086746,False
AMD,AVGO,0.3551538053725438,0.48511757622935225,0.15916127150156462,132.2055231514207,False
AAPL,NVDA,0.5016923274031164,1.0285949780799817,0.26285982526572665,204.7293582883215,False
QCOM,NVDA,0.5023935172870475,0.562994164679316,0.2651516948725068,156.14753523943347,False
QCOM,AVGO,0.5519584542456271,0.335790600407421,0.3069009908542035,169.93828673029654,False
CRM,ADBE,0.555655726208981,0.3524495247496274,0.3105345396915083,166.19208403869197,False
ADBE,NVDA,0.5650996580003799,0.5271757344865675,0.31813287593709805,195.2493249740304,False
ADBE,QCOM,0.6452148956119381,1.9668144809611081,0.39692353788325296,168.75179610696537,False
MSFT,NVDA,0.6486558734792456,2.067381493904192,0.40007818601617195,193.18905511423148,False
AAPL,AVGO,0.6979264225937629,0.636348361162427,0.4536409427170266,198.01715716238948,False
ADBE,MSFT,0.7482685173721668,0.551408070338364,0.5173754059044338,227.5767724202279,False
ADBE,AAPL,0.7770931943489883,1.0618661744836824,0.5547468572276906,224.49924485301378,False
MSFT,AVGO,0.9218828976863298,1.2695030193959236,0.7925309581948528,198.8646398969359,False
