Date,Close,High,Low,Open,Volume,Ticker
2018-01-02,102.63438415527344,102.91944575174388,100.53077056669213,101.13039737238003,4669200,CRM
2018-01-03,103.49939727783203,104.33494033979089,102.84079336425884,103.11603037293743,3888700,CRM
2018-01-04,104.86576843261719,105.82910556045182,103.97124056393882,104.19733241525046,4540200,CRM
2018-01-05,106.2616195678711,106.45822281154045,105.37692372047621,105.92740530310353,3368400,CRM
2018-01-08,107.0086898803711,107.2839269038202,105.7406271654979,106.16331473712229,2933600,CRM
2018-01-09,107.29376983642578,107.48053355007784,106.40907395717572,107.14631927327625,3302300,CRM
2018-01-10,106.94972229003906,107.62798287327742,106.38941615624367,106.83176034094899,3113300,CRM
2018-01-11,107.24461364746094,107.53951476413197,106.82192604671083,107.14631577511958,3668100,CRM
2018-01-12,108.365234375,108.82724266078543,107.0578583211797,107.3724160370861,5749500,CRM
2018-01-16,107.0381851196289,109.54482209492141,106.38941316698008,108.96485190274977,5790800,CRM
2018-01-17,108.16864776611328,108.50286208644296,107.37242512091176,107.88357864013601,4254700,CRM
2018-01-18,109.86920166015625,110.26240063690406,108.3455659372727,108.35539797409425,3842800,CRM
2018-01-19,110.02649688720703,110.48850517547365,109.71193916961131,110.30173395264734,3120900,CRM
2018-01-22,110.97015380859375,111.03896306488922,109.12212842548213,109.73157969562875,2214700,CRM
2018-01-23,111.314208984375,111.82536992882433,110.76373489002685,111.25523175987972,2816800,CRM
2018-01-24,110.93084716796875,111.90400891548634,110.58680084305317,111.697581120537,4975500,CRM
2018-01-25,110.05596923828125,111.54029176430534,109.99699201858706,111.35352056907848,4715100,CRM
2018-01-26,111.7663803100586,111.98264012326663,110.12478263655638,110.80305068713676,3927400,CRM
2018-01-29,111.3731918334961,112.46431546617161,110.93084015828748,111.76638332304115,3181500,CRM
2018-01-30,110.3213882446289,111.52063428059903,109.93801379502536,110.5081519512444,3737700,CRM
2018-01-31,111.97281646728516,112.57243572729008,110.7244102629033,111.13726581883331,4181800,CRM
2018-02-01,110.82271575927734,112.32669503054669,110.61628796710777,111.37319737137688,4302800,CRM
2018-02-02,108.89604949951172,110.43934943059773,108.82724023505492,110.12479172170272,4403800,CRM
2018-02-05,105.81929016113281,109.71194493324533,105.67183958271572,107.29378094600791,6124000,CRM
2018-02-06,107.70661926269531,107.75577194748723,101.92661901442024,103.22417039667165,6857900,CRM
2018-02-07,108.17847442626953,110.38037851442049,106.95955667242274,107.21513716915162,4515400,CRM
2018-02-08,102.2608413696289,108.30625459504978,102.2313527562774,108.2276132930142,6803800,CRM
2018-02-09,105.1606674194336,106.27144758042392,100.62906594461323,103.52889430718483,6615800,CRM
2018-02-12,106.70396423339844,107.61814863239113,104.45290786384338,105.86841362706215,4624100,CRM
2018-02-13,105.85859680175781,106.24196375510326,104.12852574329698,106.17315449423732,7542800,CRM
2018-02-14,107.16596221923828,107.36256544498288,104.91491340672096,104.91491340672096,7428000,CRM
2018-02-15,111.19625091552734,111.50097656502909,108.1784605328571,110.40002091252599,8341900,CRM
2018-02-16,110.94068145751953,112.20874436621583,110.7539102346398,110.92101738161243,4667300,CRM
2018-02-20,112.40532684326172,113.2998547001302,110.37053020690823,110.537637334132,4287800,CRM
2018-02-21,112.53314208984375,113.70289970112513,112.2284088888872,112.81820371385275,4976500,CRM
2018-02-22,111.07829284667969,113.04428033069172,110.56713940068128,112.57244003468412,4763400,CRM
2018-02-23,113.00495147705078,113.00495147705078,110.82270432828203,111.69756809518171,4173500,CRM
2018-02-26,114.66621398925781,114.81366454082364,113.40798328190301,114.13539650340877,5418900,CRM
2018-02-27,114.48926544189453,115.6098775424966,113.79134088798595,115.30515192731502,5908200,CRM
2018-02-28,114.27301025390625,116.14069966336172,114.24352164475188,115.01025548135081,9684400,CRM
2018-03-01,117.39892578125,120.38722722096338,116.04239731504917,118.85375960702801,15555500,CRM
