Date,Close,High,Low,Open,Volume,Ticker
2018-01-02,102.6343765258789,102.9194381011591,100.5307630936711,101.13038985478535,4669200,CRM
2018-01-03,103.4994125366211,104.33495572176304,102.84080852595075,103.11604557520718,3888700,CRM
2018-01-04,104.86577606201172,105.82911325993288,103.97124812825295,104.19733999601365,4540200,CRM
2018-01-05,106.2616195678711,106.45822281154045,105.37692372047621,105.92740530310353,3368400,CRM
2018-01-08,107.00869750976562,107.28393455283829,105.7406347044834,106.16332230624414,2933600,CRM
2018-01-09,107.29377746582031,107.48054119275267,106.40908152366171,107.14632689218593,3302300,CRM
2018-01-10,106.94969940185547,107.62795983994008,106.38939338797053,106.8317374780103,3113300,CRM
2018-01-11,107.24461364746094,107.53951476413197,106.82192604671083,107.14631577511958,3668100,CRM
2018-01-12,108.36522674560547,108.82723499886346,107.05785078383025,107.3724084775904,5749500,CRM
2018-01-16,107.03817749023438,109.54481428686053,106.38940558382828,108.96484413602761,5790800,CRM
2018-01-17,108.16864013671875,108.50285443347548,107.37241754767672,107.88357103084809,4254700,CRM
2018-01-18,109.86921691894531,110.26241595030115,108.34558098445709,108.35541302264411,3842800,CRM
2018-01-19,110.02647399902344,110.4884821911811,109.71191634686336,110.30171100720776,3120900,CRM
2018-01-22,110.97015380859375,111.03896306488922,109.12212842548213,109.73157969562875,2214700,CRM
2018-01-23,111.31421661376953,111.82537759325346,110.76374248169229,111.25523938523199,2816800,CRM
2018-01-24,110.93082427978516,111.90398582651184,110.5867780258561,111.69755807415441,4975500,CRM
2018-01-25,110.05596923828125,111.54029176430534,109.99699201858706,111.35352056907848,4715100,CRM
2018-01-26,111.76638793945312,111.9826477674235,110.1247901538922,110.80305825077251,3927400,CRM
2018-01-29,111.37318420410156,112.46430776203188,110.93083255919535,111.76637566671184,3181500,CRM
2018-01-30,110.3213882446289,111.52063428059903,109.93801379502536,110.5081519512444,3737700,CRM
2018-01-31,111.97281646728516,112.57243572729008,110.7244102629033,111.13726581883331,4181800,CRM
2018-02-01,110.82270812988281,112.32668729761335,110.61628035192439,111.37318970408542,4302800,CRM
2018-02-02,108.89604187011719,110.43934169307765,108.82723261048125,110.12478400622096,4403800,CRM
2018-02-05,105.81928253173828,109.71193702319688,105.67183196395213,107.29377321030506,6124000,CRM
2018-02-06,107.70662689208984,107.75577958036351,101.92662623438866,103.22417770855209,6857900,CRM
2018-02-07,108.17848205566406,110.38038629910649,106.95956421585187,107.21514473060583,4515400,CRM
2018-02-08,102.26083374023438,108.30624651462392,102.23134512908292,108.22760521845555,6803800,CRM
2018-02-09,105.16065979003906,106.2714398704424,100.62905864398589,103.52888679617526,6615800,CRM
2018-02-12,106.70398712158203,107.61817171666884,104.45293026917152,105.8684363360187,4624100,CRM
