Date,Close,High,Low,Open,Volume,Ticker
2018-01-02,102.63436889648438,102.91943045057434,100.53075562065007,101.13038233719067,4669200,CRM
2018-01-03,103.49940490722656,104.33494803077696,102.84080094510479,103.11603797407231,3888700,CRM
2018-01-04,104.86576080322266,105.82909786097075,103.97123299962469,104.19732483448726,4540200,CRM
2018-01-05,106.26162719726562,106.45823045505075,105.37693128635117,105.92741290850208,3368400,CRM
2018-01-08,107.00870513916016,107.2839422018564,105.74064224346893,106.163329875366,2933600,CRM
2018-01-09,107.29375457763672,107.48051826472816,106.40905882420373,107.14630403545686,3302300,CRM
2018-01-10,106.94971466064453,107.62797519549831,106.38940856681928,106.83175271996943,3113300,CRM
2018-01-11,107.24462127685547,107.5395224145058,106.8219336460353,107.14632339752117,3668100,CRM
2018-01-12,108.36522674560547,108.82723499886346,107.05785078383025,107.3724084775904,5749500,CRM
2018-01-16,107.03819274902344,109.5448299029823,106.38942075013188,108.96485966947195,5790800,CRM
2018-01-17,108.16864013671875,108.50285443347548,107.37241754767672,107.88357103084809,4254700,CRM
2018-01-18,109.86919403076172,110.26239298020552,108.34555841368051,108.3553904498193,3842800,CRM
2018-01-19,110.02649688720703,110.48850517547365,109.71193916961131,110.30173395264734,3120900,CRM
2018-01-22,110.97015380859375,111.03896306488922,109.12212842548213,109.73157969562875,2214700,CRM
2018-01-23,111.314208984375,111.82536992882433,110.76373489002685,111.25523175987972,2816800,CRM
2018-01-24,110.93083953857422,111.9040012191615,110.58679323732082,111.69757343840946,4975500,CRM
2018-01-25,110.05597686767578,111.54029949659736,109.99699964389313,111.35352828842299,4715100,CRM
2018-01-26,111.76639556884766,111.98265541158035,110.12479767122802,110.80306581440824,3927400,CRM
2018-01-29,111.37318420410156,112.46430776203188,110.93083255919535,111.76637566671184,3181500,CRM
2018-01-30,110.32139587402344,111.5206419929287,109.9380213979072,110.50815959355478,3737700,CRM
2018-01-31,111.97282409667969,112.57244339754037,110.72441780723626,111.13727339129666,4181800,CRM
2018-02-01,110.82271575927734,112.32669503054669,110.61628796710777,111.37319737137688,4302800,CRM
2018-02-02,108.89604187011719,110.43934169307765,108.82723261048125,110.12478400622096,4403800,CRM
2018-02-05,105.81927490234375,109.71192911314841,105.67182434518853,107.29376547460218,6124000,CRM
2018-02-06,107.70662689208984,107.75577958036351,101.92662623438866,103.22417770855209,6857900,CRM
2018-02-07,108.17845916748047,110.38036294504847,106.95954158556445,107.2151220462432,4515400,CRM
2018-02-08,102.26083374023438,108.30624651462392,102.23134512908292,108.22760521845555,6803800,CRM
2018-02-09,105.16067504882812,106.27145529040543,100.62907324524059,103.52890181819441,6615800,CRM
2018-02-12,106.70397186279297,107.61815632715037,104.4529153322861,105.86842119671434,4624100,CRM
