Date,Close,High,Low,Open,Volume,Ticker
2018-01-02,52.42040252685547,52.52492566499147,51.5922897486329,51.76112774025223,6329600,QCOM
2018-01-03,53.0153694152832,53.1118447751587,52.010376856661594,52.436492720079116,6844200,QCOM
2018-01-04,53.08772277832031,53.489719777864146,52.99124742418174,53.20832310498095,5060100,QCOM
2018-01-05,53.44148254394531,53.54599955645792,52.66160737692537,53.09576487611134,5421800,QCOM
2018-01-08,53.28069305419922,53.48973326418361,53.01537962943749,53.2646158691184,4266900,QCOM
2018-01-09,52.4766960144043,52.9510557574855,52.211382603991005,52.774176061217545,7632300,QCOM
2018-01-10,52.46865463256836,52.85456835044998,52.16313296075846,52.64553430909242,6569300,QCOM
2018-01-11,52.6053352355957,52.661614578335154,52.372176205964166,52.4204138900299,4233100,QCOM
2018-01-12,52.56512451171875,52.98320481879777,52.3239299966999,52.75004582715511,5007200,QCOM
2018-01-16,54.87260818481445,55.194207115259594,53.08773994813383,53.248542480351105,24478800,QCOM
2018-01-17,54.68768310546875,55.39520193136714,54.06056860723262,55.08968020782411,12559100,QCOM
2018-01-18,54.71179962158203,54.81631664379216,54.26155876547277,54.47059894388107,6797900,QCOM
2018-01-19,54.70375442504883,54.872592434923924,54.47059542074866,54.70375442504883,8864300,QCOM
2018-01-22,55.21028518676758,55.27460620068586,54.43845142171674,54.51884962211984,8566200,QCOM
2018-01-23,54.944942474365234,55.39518324826329,54.864544307807805,55.15398261460408,7825600,QCOM
2018-01-24,54.655513763427734,54.904749935738415,54.1731124655541,54.832387287462446,12383100,QCOM
2018-01-25,54.205291748046875,54.96908997841375,54.10077470207621,54.784168598938564,9122200,QCOM
2018-01-26,55.09770584106445,55.097705841064446,54.3499912028124,54.6233523425755,7919000,QCOM
2018-01-29,54.1248779296875,54.91279477914038,54.0605569350408,54.80023610550249,9745300,QCOM
2018-01-30,53.85956573486328,54.599245005683784,53.65053167488151,54.21332511943011,8059500,QCOM
2018-01-31,54.87260818481445,54.977125230263624,54.237451984032376,54.3098146570275,13915600,QCOM
2018-02-01,53.706817626953125,54.953005017198855,53.32089769321924,53.86761402118184,16838500,QCOM
2018-02-02,53.11989974975586,53.899775152191005,52.95106169366,53.20833960780455,10971700,QCOM
2018-02-05,49.63055419921875,53.5058084871449,48.64164184868153,53.30480996710902,35996000,QCOM
2018-02-06,51.777225494384766,51.88174252768279,50.008437716565226,50.09687756550535,24458700,QCOM
2018-02-07,52.291778564453125,53.16009369058703,51.47170112288609,51.632503628089616,15021200,QCOM
2018-02-08,50.185306549072266,52.31589198375603,50.16922936721264,51.96213264296677,13451600,QCOM
2018-02-09,51.44757843017578,51.712894860602816,49.41347148426422,50.61142391750833,23095000,QCOM
2018-02-12,52.79026412963867,52.822418500954704,51.769188021662885,52.17118513699432,13692100,QCOM
2018-02-13,52.82241439819336,52.87065821939864,52.24354374962838,52.444542291682374,7695900,QCOM
2018-02-14,53.53794479370117,53.70678889148843,52.33999573588098,52.380197879922896,10370900,QCOM
2018-02-15,52.48473358154297,53.36912585994263,51.343063437899986,53.36912585994263,15548400,QCOM
2018-02-16,52.13900375366211,52.92692048316138,51.93800527648224,52.07468276880773,11760300,QCOM
2018-02-20,51.44757843017578,51.56817569237215,49.735070317442094,50.65966159558937,27494600,QCOM
2018-02-21,50.973236083984375,51.34307269860449,50.37024040349715,50.748115611046124,14895600,QCOM
2018-02-22,49.992347717285156,51.11794055650942,49.87174738915622,50.77222288733312,11722300,QCOM
2018-02-23,50.908905029296875,50.908905029296875,49.871751927389084,50.498869396934786,6762200,QCOM
2018-02-26,53.85152053833008,54.15703604850254,51.60837655394078,51.89781488315149,27374300,QCOM
2018-02-27,53.79475784301758,54.8408128731477,53.52716726195255,54.32995137842029,14326000,QCOM
2018-02-28,52.708160400390625,54.10290040392429,52.63518284019083,54.086679043900226,9582100,QCOM
2018-03-01,52.67573165893555,53.713676135109715,52.164870102060256,52.73249405414391,10799200,QCOM
2018-03-02,52.4973258972168,52.58652481722093,51.92159135050397,52.14864089719228,10612700,QCOM
2018-03-05,51.90536880493164,53.1946883419168,51.52424732570651,52.172959340301496,15445500,QCOM
2018-03-06,50.38899612426758,51.53235752665443,49.51323145746721,51.49181341034921,23450400,QCOM
