Date,ratio,ma,diff,z,p1_change,position,strategy_return
2018-01-03,0.21786133883526596,,,,,0,
2018-01-04,0.2283013380394535,,,,4.935062211353536,0,0.0
2018-01-05,0.2222991925544668,,,,-1.980196150035629,0,-0.0
2018-01-08,0.23047752697371007,,,,3.3670001235441616,0,0.0
2018-01-09,0.22524286609138744,,,,-3.7459287308605815,0,-0.0
2018-01-10,0.22794562052146003,,,,1.1844360993008785,0,0.0
2018-01-11,0.23077504455164635,,,,1.5050192692446673,0,0.0
2018-01-12,0.22866870048943244,,,,-0.9884669041635097,0,-0.0
2018-01-16,0.21704825743229528,,,,-0.9151464738964554,0,-0.0
2018-01-17,0.2227192598685495,,,,2.2670063914596694,0,0.0
2018-01-18,0.2279216041645561,,,,2.3809520081029545,0,0.0
2018-01-19,0.23014873997063234,,,,0.9623086045664753,0,0.0
2018-01-22,0.2291239680385157,,,,0.47656445762669364,0,0.0
2018-01-23,0.2355084580901515,,,,2.2924898861516496,0,0.0
2018-01-24,0.23254739552659764,,,,-1.7774308322621724,0,-0.0
2018-01-25,0.22894449860192992,,,,-2.3603476776904997,0,-0.0
2018-01-26,0.23503697328943368,,,,4.3513293190381,0,0.0
2018-01-29,0.24609756443082717,,,,2.8571420155108163,0,0.0
2018-01-30,0.2389548160030778,,,,-3.3783770238372868,0,-0.0
2018-01-31,0.2503982406086543,0.23030107020410218,0.02009717040455211,,6.759905930809484,0,0.0
2018-02-01,0.2467099379966381,0.23174350016217077,0.014966437834467328,,-3.5662283790437677,0,-0.0
2018-02-02,0.2343755060571018,0.23204720856305322,0.0023282974940485868,,-6.037737288565004,0,-0.0
2018-02-05,0.23312253451117498,0.23258837566088858,0.0005341588502864036,,-7.0682741198600745,0,-0.0
2018-02-06,0.22500240917910497,0.23231461977115836,-0.007312210592053392,,0.6914427468985851,0,0.0
2018-02-07,0.2218322342893268,0.23214408818105534,-0.010311853891728534,,-0.42917801457277305,0,-0.0
2018-02-08,0.22357136939048844,0.23192537562450677,-0.00835400623401833,,-3.275862947797359,0,-0.0
2018-02-09,0.2198354116192464,0.23137839397788676,-0.011542982358640347,,0.8021403783061043,0,0.0
2018-02-12,0.22125295612310128,0.2310076067595702,-0.009754650636468909,,3.271440069244669,0,0.0
2018-02-13,0.22301144826615008,0.23130576630126293,-0.008294318035112852,,0.8561594621799617,0,0.0
2018-02-14,0.22787561294680456,0.23156358395517568,-0.0036879710083711215,,3.565365753943106,0,0.0
2018-02-15,0.23225804001524578,0.23178040574771014,0.0004776342675356371,,-0.0819690904768855,0,-0.0
2018-02-16,0.22670162928841456,0.23160805021359926,-0.004906420925184701,,-3.035273981095954,0,-0.0
2018-02-20,0.23363586651268753,0.2318336451373079,0.0018022213753796368,,1.6920538756615144,0,0.0
2018-02-21,0.22992467327724378,0.23155445589666246,-0.0016297826194186793,,-2.4958417579850734,0,-0.0
2018-02-22,0.23683624981057125,0.23176889861086117,0.0050673511997100795,,1.0238897851962525,0,0.0
2018-02-23,0.23709012762013168,0.23217618006177126,0.004913947558360415,,1.9425636762855802,0,0.0
2018-02-26,0.23063417396456373,0.23195604009552775,-0.0013218661309640223,,2.899754683670852,0,0.0
2018-02-27,0.23292226919121123,0.23129727533354694,0.001624993857664292,,0.8856655072587705,0,0.0
2018-02-28,0.22975568801273316,0.23083731893402973,-0.001081630921296567,-0.03239554413810527,-3.351955987586863,0,-0.0
2018-03-01,0.22591049247043113,0.22961293152711856,-0.0037024390566874343,-0.2628103384524568,-1.7341044104091652,0,-0.0
2018-03-02,0.22496383119723642,0.2285256261871485,-0.003561794989912076,-0.1238376046257772,-0.7562958134337161,0,-0.0
2018-03-05,0.2294559622714864,0.2282796489978677,0.0011763132736186954,0.8340549108753758,0.8467351756339392,0,0.0
2018-03-06,0.23338425753311617,0.2282927351489648,0.005091522384151365,1.4922360376577701,-1.2594426570279649,0,-0.0
2018-03-07,0.24154960230588507,0.22912009480530376,0.012429507500581305,2.3121111999147983,4.081628681073313,-1,0.0
2018-03-08,0.23878146384872012,0.22996755628327342,0.0088139075654467,1.545558825669778,-2.205878342632439,-1,2.205878342632439
2018-03-09,0.22891486975574032,0.230234731301536,-0.0013198615457956642,-0.14205105276251737,-2.2556428716830057,0,2.2556428716830057
2018-03-12,0.22618262266174022,0.2305520918536607,-0.004369469191920494,-0.7776408181238235,-1.5384560208191234,0,-0.0
2018-03-13,0.24044411249012154,0.2315116496720117,0.008932462818109832,1.5198665497974542,1.0416656318638529,0,0.0
2018-03-14,0.23302089316091512,0.23201212191675,0.0010087712441651242,-0.05712523152890371,-2.4055041098527963,0,-0.0
2018-03-15,0.23597486224648376,0.23241708438173397,0.0035577778647497837,0.40038354344470195,0.88028507475304,0,0.0
2018-03-16,0.2333366715644635,0.2324710159591948,0.0008656556052686892,-0.16887842663403024,0.08726203183724301,0,0.0
2018-03-19,0.24148606761241734,0.233210237875395,0.008275829737022344,1.2615421509267823,-0.34873549190762576,0,-0.0
2018-03-20,0.23516841752527373,0.23328686542602434,0.001881552099249395,-0.09569534173465938,-2.799655642647969,0,-0.0
2018-03-21,0.24442699869693763,0.23401198169700899,0.010415016999928639,1.512773560926157,1.3501402055799083,0,0.0
2018-03-22,0.242070412749127,0.23427368984393673,0.007796722905190262,0.9369640303528045,-3.1083514596383144,0,-0.0
2018-03-23,0.24429695003897753,0.23463403096487903,0.009662919074098497,1.212048454873936,-2.5664503839347708,0,-0.0
2018-03-26,0.22937227226943666,0.23457093588012268,-0.005198663610686022,-1.514708779105236,-1.7873991722681226,0,-0.0
2018-03-27,0.2248733166069164,0.23416848825090794,-0.009295171643991545,-1.929703075882846,-4.2145555370524885,1,-0.0
2018-03-28,0.22116538033579625,0.23373897286706113,-0.012573592531264888,-2.084986078859191,-1.89999580383301,1,-1.89999580383301
2018-03-29,0.2236729478767752,0.23362709563737832,-0.009954147760603133,-1.5758452351405106,2.44648074263325,1,2.44648074263325
2018-04-02,0.2184063839723851,0.23329922327613578,-0.014892839303750682,-1.952839249499815,-5.174133809898452,1,-5.174133809898452
2018-04-03,0.21498930839484223,0.23257589058230357,-0.01758658218746134,-1.930401424143612,0.20986839794419065,1,0.20986839794419065
