window,cumulative_return_pct,sharpe,max_drawdown_pct,trades,days_in_market_pct
train (<= 2023-12-31),-65.6364336289301,-0.3154295908274648,-81.33665510414197,83,40.318302387267906
test (> 2023-12-31),-19.951273541257553,-0.10418575313780043,-44.74994150855145,29,35.8
full,-72.49240275415386,-0.2605949508058683,-81.57684743204896,112,39.173718267794925
